year,state,age,gender,race,voter_registration
2020,Alabama,62,Female,300,0.0
2020,Alabama,34,Female,300,0.0
2020,Alabama,23,Female,200,0.0
2020,Alabama,28,Female,100,1.0
2020,Alabama,63,Male,100,0.0
2020,Alabama,41,Female,100,1.0
2020,Alabama,20,Male,100,0.0
2020,Alabama,80,Female,100,1.0
2020,Alabama,47,Female,100,0.0
2020,Alabama,52,Male,100,0.0
2020,Alabama,68,Male,200,0.0
2020,Alabama,64,Female,200,0.0
2020,Alabama,68,Female,100,0.0
2020,Alabama,21,Male,100,0.0
2020,Alabama,73,Male,100,1.0
2020,Alabama,79,Male,100,1.0
2020,Alabama,75,Female,100,1.0
2020,Alabama,30,Female,100,1.0
2020,Alabama,72,Male,100,1.0
2020,Alabama,70,Female,100,1.0
2020,Alabama,26,Female,100,0.0
2020,Alabama,49,Male,100,1.0
2020,Alabama,48,Female,100,1.0
2020,Alabama,20,Female,100,1.0
2020,Alabama,62,Male,200,1.0
2020,Alabama,32,Female,200,1.0
2020,Alabama,42,Male,100,1.0
2020,Alabama,67,Female,100,0.0
2020,Alabama,34,Male,100,0.0
2020,Alabama,42,Male,200,1.0
2020,Alabama,55,Female,100,1.0
2020,Alabama,51,Male,300,1.0
2020,Alabama,35,Male,100,0.0
2020,Alabama,58,Female,100,0.0
2020,Alabama,74,Male,100,1.0
2020,Alabama,64,Female,100,0.0
2020,Alabama,41,Female,200,1.0
2020,Alabama,36,Male,200,0.0
2020,Alabama,85,Female,200,0.0
2020,Alabama,58,Female,200,1.0
2020,Alabama,48,Male,100,0.0
2020,Alabama,72,Female,200,1.0
2020,Alabama,85,Female,200,1.0
2020,Alabama,62,Male,100,0.0
2020,Alabama,73,Female,100,1.0
2020,Alabama,49,Female,100,0.0
2020,Alabama,61,Male,100,0.0
2020,Alabama,28,Male,100,1.0
2020,Alabama,58,Male,100,1.0
2020,Alabama,43,Male,100,0.0
2020,Alabama,68,Male,100,0.0
2020,Alabama,71,Female,100,0.0
2020,Alabama,60,Female,200,1.0
2020,Alabama,51,Male,200,0.0
2020,Alabama,36,Male,100,1.0
2020,Alabama,64,Female,100,0.0
2020,Alabama,67,Male,100,0.0
2020,Alabama,27,Female,100,1.0
2020,Alabama,27,Male,100,1.0
2020,Alabama,65,Male,100,0.0
2020,Alabama,51,Male,100,1.0
2020,Alabama,58,Female,100,0.0
2020,Alabama,64,Female,200,1.0
2020,Alabama,54,Male,200,1.0
2020,Alabama,32,Female,200,1.0
2020,Alabama,73,Female,100,0.0
2020,Alabama,76,Male,100,0.0
2020,Alabama,31,Female,100,0.0
2020,Alabama,71,Female,200,0.0
2020,Alabama,50,Male,100,1.0
2020,Alabama,66,Female,200,1.0
2020,Alabama,70,Male,200,0.0
2020,Alabama,22,Male,200,0.0
2020,Alabama,55,Female,100,0.0
2020,Alabama,21,Female,100,0.0
2020,Alabama,49,Female,100,1.0
2020,Alabama,53,Male,100,1.0
2020,Alabama,39,Male,100,0.0
2020,Alabama,62,Male,100,0.0
2020,Alabama,52,Female,100,0.0
2020,Alabama,85,Male,100,1.0
2020,Alabama,37,Female,100,1.0
2020,Alabama,62,Male,100,0.0
2020,Alabama,62,Female,100,0.0
2020,Alabama,59,Male,300,0.0
2020,Alabama,55,Female,100,0.0
2020,Alabama,21,Female,200,0.0
2020,Alabama,26,Male,200,0.0
